combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,put_only_max_vix,target_delta,conditional_e6_enabled,conditional_e7_enabled,downday_threshold_pct,downday_reference,conditional_upday_e6_enabled,conditional_upday_e7_enabled,upday_threshold_pct,upday_reference,downday_theoretical_put_credit,upday_theoretical_call_credit,net_return_exit_pct,callside_min_upday_pct,base_entry_downday_callonly_pct,base_entry_upday_putonly_pct,movement_entry_pct,max_vix_entry,vix_early_exit_threshold,price_based_stop_points,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
95,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.2,open,True,False,0.75,open,150,0,,,0.6,,,,,,171653.99952301383,1.9262301118647231,-19755.000985860825,71.78378378378379,185.57189137623118,11.366327255505565,4223,2252,925,,,,,,,
234,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.75,open,150,0,,,,,,,,,184364.99918617308,1.926195338492264,-26160.000804066658,71.38263665594855,197.6045007354481,12.651317351056255,4213,2318,933,,,,,,,
39,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.1,open,True,False,0.6,open,150,0,,,0.4,,,,,,163151.9999268353,1.9260733061738706,-17035.00157237053,71.89189189189189,176.38054046144356,10.513361462728552,4266,2209,925,,,,,,,
131,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.25,open,True,False,0.5,open,150,0,,,0.6,,,,,,173171.99955639243,1.9258166626948765,-19285.000972747803,71.65948275862068,186.60775814266427,11.450740653656242,4253,2243,928,,,,,,,
35,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.1,open,True,False,0.5,open,150,0,,,0.6,,,,,,173432.99954722822,1.92494305652122,-21108.000970587134,71.67567567567568,187.49513464565212,11.287684038326711,4279,2196,925,,,,,,,
222,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.35,open,True,False,0.5,open,150,0,,,,,,,,,185285.99919965863,1.9247808819101395,-25690.000790953636,71.24463519313305,198.80472017130754,12.638790455941413,4233,2291,932,,,,,,,
311,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.5,open,True,False,0.35,open,150,0,,,0.6,,,,,,174330.99973416328,1.9245481398349515,-19035.000960230827,71.5203426124197,186.64989264899708,11.544830849302105,4227,2311,934,,,,,,,
164,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.35,open,150,0,,,0.3,,,,,,160250.99962627888,1.9245157463995162,-17035.00157237053,72.73706896551724,172.68426683866258,10.004708097928438,4248,2248,928,,,,,,,
116,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.25,open,True,False,0.35,open,150,0,,,0.3,,,,,,160321.999563694,1.9242740005876084,-17035.00157237053,72.81553398058253,172.94714084540885,10.004691531785127,4263,2226,927,,,,,,,
372,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.6,open,True,False,0.6,open,150,0,,,,,,,,,185271.99927133322,1.9236288745775583,-26125.000796318054,71.45899893503727,197.30777345189907,12.863268222963317,4198,2375,939,,,,,,,
161,100,1.75,1.25,True,False,10,current,,25.0,8.0,False,True,0.3,open,True,False,0.3,open,150,0,,,0.6,,,,,,174440.9997216463,1.9235661755959519,-19375.001014322042,71.55172413793103,187.9752152172913,11.4238798967863,4263,2233,928,,,,,,,
