date,vix,credit_pnl,price_pnl,better
2024-03-07,14.32,890.00,890.00,credit
2024-03-08,14.07,-1245.00,-2930.00,credit
2024-03-11,16.03,980.00,980.00,credit
2024-03-12,14.34,-225.00,1610.00,n=0.3
2024-03-13,13.86,270.00,270.00,credit
2024-03-14,13.84,355.00,355.00,credit
2024-03-15,14.75,245.00,1705.00,n=0.3
2024-03-18,14.33,340.00,340.00,credit
2024-03-19,14.25,-685.00,-1858.00,credit
2024-03-20,13.96,1690.00,1690.00,credit
2024-03-21,12.82,175.00,175.00,credit
2024-03-22,12.85,120.00,120.00,credit
2024-03-25,13.19,0.00,0.00,credit
2024-03-26,13.01,0.00,0.00,credit
2024-03-27,13.26,-140.00,-326.00,credit
2024-03-28,13.02,45.00,45.00,credit
2024-04-01,13.93,95.00,95.00,credit
2024-04-02,15.34,220.00,220.00,credit
2024-04-03,14.70,355.00,355.00,credit
2024-04-04,13.92,65.00,65.00,credit
2024-04-05,16.28,-420.00,-85.00,n=0.3
2024-04-08,15.89,575.00,575.00,credit
2024-04-09,15.40,55.00,-745.00,credit
2024-04-10,16.05,625.00,1705.00,n=0.3
2024-04-11,16.42,-2155.00,-2040.00,n=0.3
2024-04-12,17.59,-105.00,-280.00,credit
2024-04-15,16.99,335.00,335.00,credit
2024-04-16,18.94,1640.00,1640.00,credit
2024-04-17,17.94,290.00,290.00,credit
2024-04-18,17.88,-825.00,-1785.00,credit
2024-04-19,18.54,-790.00,1410.00,n=0.3
2024-04-22,17.85,-1030.00,-4155.00,credit
2024-04-23,16.40,1205.00,1645.00,n=0.3
2024-04-24,15.74,-80.00,850.00,n=0.3
2024-04-25,17.10,-540.00,-3445.00,credit
2024-04-26,15.24,1675.00,1675.00,credit
2024-04-29,15.05,315.00,315.00,credit
2024-04-30,14.78,380.00,380.00,credit
2024-05-01,16.03,-1005.00,1655.00,n=0.3
2024-05-02,15.46,530.00,530.00,credit
2024-05-03,14.08,1370.00,1370.00,credit
2024-05-06,13.77,260.00,260.00,credit
2024-05-07,13.57,190.00,190.00,credit
2024-05-08,13.30,155.00,155.00,credit
2024-05-09,13.21,-165.00,175.00,n=0.3
2024-05-10,12.90,255.00,255.00,credit
2024-05-13,13.40,50.00,50.00,credit
2024-05-14,13.75,515.00,515.00,credit
2024-05-15,12.98,170.00,39.00,credit
2024-05-16,12.38,0.00,0.00,credit
2024-05-17,12.34,60.00,60.00,credit
2024-05-20,12.23,0.00,0.00,credit
2024-05-21,12.23,0.00,0.00,credit
2024-05-22,11.92,0.00,0.00,credit
2024-05-23,12.03,320.00,320.00,credit
2024-05-24,12.45,-500.00,-295.00,n=0.3
2024-05-28,12.81,0.00,0.00,credit
2024-05-29,14.10,460.00,460.00,credit
2024-05-30,13.99,40.00,740.00,n=0.3
2024-05-31,13.95,-4210.00,-16125.00,credit
2024-06-03,13.16,-475.00,-1385.00,credit
2024-06-04,13.78,-1190.00,-1125.00,n=0.3
2024-06-05,13.21,640.00,-428.00,credit
2024-06-06,12.69,80.00,490.00,n=0.3
2024-06-07,12.56,-825.00,1380.00,n=0.3
2024-06-10,13.05,135.00,135.00,credit
2024-06-11,13.19,-442.00,-1815.00,credit
2024-06-12,12.29,1630.00,1630.00,credit
2024-06-13,12.18,335.00,790.00,n=0.3
2024-06-14,12.89,1265.00,1265.00,credit
2024-06-17,13.09,-1380.00,-2745.00,credit
2024-06-18,12.43,885.00,885.00,credit
2024-06-20,12.98,30.00,-325.00,credit
2024-06-21,13.48,905.00,905.00,credit
2024-06-24,13.42,-20.00,-290.00,credit
2024-06-25,13.35,275.00,275.00,credit
2024-06-26,12.87,235.00,235.00,credit
2024-06-27,12.37,-40.00,405.00,n=0.3
2024-06-28,12.26,-1415.00,-2275.00,credit
2024-07-01,13.26,590.00,590.00,credit
2024-07-02,12.41,-230.00,-2252.00,credit
2024-07-03,12.00,0.00,0.00,credit
2024-07-05,12.36,325.00,325.00,credit
2024-07-08,12.57,0.00,0.00,credit
2024-07-09,12.43,95.00,95.00,credit
2024-07-10,12.43,-190.00,-1267.00,credit
2024-07-11,12.64,130.00,-475.00,credit
2024-07-12,12.30,-1555.00,-1470.00,n=0.3
2024-07-15,12.83,-1175.00,1015.00,n=0.3
2024-07-16,13.22,525.00,1395.00,n=0.3
2024-07-17,14.13,1520.00,1520.00,credit
2024-07-18,14.13,-70.00,-445.00,credit
2024-07-19,16.03,-160.00,870.00,n=0.3
2024-07-22,15.74,-455.00,-200.00,n=0.3
2024-07-23,14.68,840.00,840.00,credit
2024-07-24,16.43,320.00,320.00,credit
2024-07-25,19.24,-2359.00,-3893.00,credit
2024-07-26,17.33,-360.00,1815.00,n=0.3
2024-07-29,16.88,600.00,1465.00,n=0.3
2024-07-30,16.66,-1110.00,-1570.00,credit
2024-07-31,16.39,1575.00,1575.00,credit
2024-08-01,16.43,85.00,-1060.00,credit
2024-08-02,24.32,300.00,300.00,credit
2024-08-05,42.83,1020.00,1815.00,n=0.3
2024-08-06,28.16,1445.00,1805.00,n=0.3
2024-08-07,22.51,-1050.00,-6195.00,credit
2024-08-08,25.14,1820.00,1820.00,credit
2024-08-09,22.90,415.00,1640.00,n=0.3
2024-08-12,19.79,-1035.00,1425.00,n=0.3
2024-08-13,19.50,110.00,-1450.00,credit
2024-08-14,17.42,-640.00,1160.00,n=0.3
2024-08-15,15.16,360.00,1290.00,n=0.3
2024-08-16,15.27,850.00,1330.00,n=0.3
2024-08-19,15.00,-775.00,-2835.00,credit
2024-08-20,15.11,530.00,1415.00,n=0.3
2024-08-21,16.53,-590.00,510.00,n=0.3
2024-08-22,16.57,330.00,330.00,credit
2024-08-23,16.07,-570.00,1640.00,n=0.3
2024-08-26,16.20,100.00,610.00,n=0.3
2024-08-27,16.38,180.00,960.00,n=0.3
2024-08-28,15.70,115.00,-515.00,credit
2024-08-29,15.40,-1605.00,-2220.00,credit
2024-08-30,15.15,-1415.00,-1910.00,credit
2024-09-03,18.23,300.00,300.00,credit
2024-09-04,21.14,800.00,1675.00,n=0.3
2024-09-05,20.08,-455.00,-485.00,credit
2024-09-06,20.34,315.00,315.00,credit
2024-09-09,20.00,-60.00,575.00,n=0.3
2024-09-10,19.78,-235.00,39.00,n=0.3
2024-09-11,20.34,-1450.00,-5195.00,credit
2024-09-12,17.65,780.00,-190.00,credit
2024-09-13,16.69,1785.00,1785.00,credit
2024-09-16,17.22,1135.00,1725.00,n=0.3
2024-09-17,17.00,-885.00,-4280.00,credit
2024-09-18,18.97,1580.00,1580.00,credit
2024-09-19,16.50,1705.00,1705.00,credit
2024-09-20,16.36,1365.00,1365.00,credit
2024-09-23,16.04,1060.00,1060.00,credit
2024-09-24,16.08,210.00,210.00,credit
2024-09-25,15.31,45.00,-105.00,credit
2024-09-26,15.44,-435.00,-970.00,credit
2024-09-27,15.36,-45.00,445.00,n=0.3
2024-09-30,17.23,-1045.00,215.00,n=0.3
2024-10-01,20.12,305.00,305.00,credit
2024-10-02,19.41,1195.00,1660.00,n=0.3
2024-10-03,19.81,540.00,1685.00,n=0.3
2024-10-04,19.73,270.00,270.00,credit
2024-10-07,20.87,-2055.00,-2820.00,credit
2024-10-08,21.62,1080.00,1500.00,n=0.3
2024-10-09,21.02,285.00,-180.00,credit
2024-10-10,20.86,400.00,975.00,n=0.3
2024-10-11,20.51,1075.00,1075.00,credit
2024-10-14,20.24,320.00,320.00,credit
2024-10-15,19.59,160.00,-5.00,credit
2024-10-16,20.56,872.00,872.00,credit
2024-10-17,19.47,260.00,260.00,credit
2024-10-18,18.65,520.00,520.00,credit
2024-10-21,18.65,235.00,235.00,credit
2024-10-22,18.97,575.00,575.00,credit
2024-10-23,18.72,145.00,-170.00,credit
2024-10-24,19.11,-780.00,1325.00,n=0.3
2024-10-25,18.34,-660.00,-3275.00,credit
2024-10-28,19.10,390.00,795.00,n=0.3
2024-10-29,19.78,0.00,470.00,n=0.3
2024-10-30,19.47,365.00,365.00,credit
2024-10-31,22.14,300.00,300.00,credit
2024-11-01,21.25,-185.00,459.00,n=0.3
2024-11-04,22.31,-435.00,-1215.00,credit
2024-11-05,20.68,680.00,1440.00,n=0.3
2024-11-06,16.28,1260.00,1600.00,n=0.3
2024-11-07,15.55,1710.00,1710.00,credit
2024-11-08,14.76,380.00,380.00,credit
2024-11-11,15.37,140.00,140.00,credit
2024-11-12,14.89,-380.00,-1335.00,credit
2024-11-13,14.71,390.00,90.00,credit
2024-11-14,14.06,-320.00,-540.00,credit
2024-11-15,15.49,305.00,305.00,credit
