combo_id,put_stop_buffer,min_put_credit,min_call_credit,one_sided_entries_enabled,fomc_t1_callonly_enabled,stop_buffer,entry_schedule,early_exit_time,train_net_pnl,train_sharpe,train_max_dd,train_win_rate,train_avg_net_per_day,train_stop_rate,train_total_entries,train_total_skipped,train_days,val_net_pnl,val_sharpe,val_max_dd,val_win_rate,val_avg_net_per_day,val_stop_rate,val_days
127,200,1.5,1.25,True,True,10,current,,96129.9999204278,1.970772813896055,-20314.99998278916,63.091922005571035,133.8857937610415,22.643856920684293,3215,375,718,,,,,,,
119,150,2.25,2.25,True,True,10,current,,104765.00004664063,1.9640578952851682,-20435.000098720193,62.39554317548747,145.91225633236857,23.353199498117945,3188,402,718,,,,,,,
136,200,1.75,2.0,True,True,10,current,,100485.00273093581,1.9605999175058588,-21834.999017491937,61.83844011142061,139.95125728542592,23.874296435272043,3198,392,718,,,,,,,
144,200,2.25,1.0,True,True,10,current,,99545.00010989606,1.9605824758260104,-16984.999997466803,62.95264623955432,138.64206143439563,20.10664993726474,3188,402,718,,,,,,,
70,125,1.5,2.0,True,True,10,current,,89265.00229544938,1.960422796320513,-16769.99961964786,60.306406685236766,124.32451573182364,26.22083981337481,3215,375,718,,,,,,,
135,200,1.75,1.75,True,True,10,current,,101710.00173643231,1.9575349634619057,-20999.99876871705,62.67409470752089,141.6573840340283,23.43652282676673,3198,392,718,,,,,,,
47,100,1.75,2.25,True,True,10,current,,90185.00203885138,1.9506750293653394,-19204.999316483736,60.58495821727019,125.60585242179857,26.469668542839276,3198,392,718,,,,,,,
23,75,2.0,2.25,True,True,10,current,,92560.00188559294,1.935833214595141,-20754.999593421817,61.14206128133704,128.91365165124364,26.377582968065123,3194,396,718,,,,,,,
30,100,1.25,1.0,True,True,10,current,,73905.00110447407,1.926829934929947,-13919.999825656414,61.28133704735376,102.93175641291653,25.192130341223486,3253,337,718,,,,,,,
36,100,1.5,1.0,True,True,10,current,,77700.00145837665,1.9239416262299533,-15769.999177828431,60.58495821727019,108.21727222615132,24.94556765163297,3215,375,718,,,,,,,
66,125,1.5,1.0,True,True,10,current,,80850.00151768327,1.9215904224378688,-14654.999433010817,60.44568245125348,112.60445893827753,23.950233281493002,3215,375,718,,,,,,,
149,200,2.25,2.25,True,True,10,current,,106269.99975755811,1.9159961717252234,-23625.000562518835,62.67409470752089,148.0083562082982,22.396486825595986,3188,402,718,,,,,,,
68,125,1.5,1.5,True,True,10,current,,87840.0001821667,1.9102001519378227,-20634.999704658985,60.44568245125348,122.33983312279484,25.381026438569204,3215,375,718,,,,,,,
98,150,1.5,1.5,True,True,10,current,,89540.00016920269,1.8987188096421297,-20259.99980762601,61.28133704735376,124.70752112702324,24.696734059097977,3215,375,718,,,,,,,
39,100,1.5,1.75,True,True,10,current,,84140.00125542283,1.8979803305102718,-18024.999359995127,59.610027855153206,117.18663127496215,26.858475894245725,3215,375,718,,,,,,,
107,150,1.75,2.25,True,True,10,current,,92250.0017875433,1.8855014870483466,-21784.998902380466,61.28133704735376,128.48189664003246,25.203252032520325,3198,392,718,,,,,,,
53,100,2.0,2.25,True,True,10,current,,92605.00110976398,1.8842919385767714,-21879.99981842935,60.58495821727019,128.97632466540944,25.64182842830307,3194,396,718,,,,,,,
69,125,1.5,1.75,True,True,10,current,,86675.00115260482,1.8825817122833428,-16619.99917000532,60.16713091922006,120.71727180028526,26.049766718507,3215,375,718,,,,,,,
138,200,2.0,1.0,True,True,10,current,,95370.00152014196,1.8797576386152839,-22644.999729916453,62.67409470752089,132.82730016732864,20.710707576706326,3194,396,718,,,,,,,
96,150,1.5,1.0,True,True,10,current,,82505.00112921,1.8791578020354,-17564.99955289066,61.55988857938719,114.90947232480501,23.094867807153964,3215,375,718,,,,,,,
11,75,1.5,2.25,True,True,10,current,,80610.00153504312,1.8741566154837348,-13484.999601393938,58.91364902506964,112.27019712401548,28.00933125972006,3215,375,718,,,,,,,
0,75,1.25,1.0,True,True,10,current,,69140.00106200576,1.8697275874494974,-11959.999641999602,60.16713091922006,96.29526610307208,26.314171533968644,3253,337,718,,,,,,,
100,150,1.5,2.0,True,True,10,current,,88075.00225104392,1.86494771218904,-19089.999672472477,61.00278551532033,122.6671340543787,25.474339035769827,3215,375,718,,,,,,,
124,200,1.25,2.0,True,True,10,current,,85355.00167749822,1.8547082696458523,-14494.999840036035,62.95264623955432,118.87883241991396,24.90009222256379,3253,337,718,,,,,,,
99,150,1.5,1.75,True,True,10,current,,87625.00105232,1.8487310593831654,-19299.999062120914,60.16713091922006,122.04039143777159,25.334370139968897,3215,375,718,,,,,,,
41,100,1.5,2.25,True,True,10,current,,81110.00177621841,1.8371077234000557,-13804.999244362116,59.19220055710307,112.96657628999779,27.262830482115085,3215,375,718,,,,,,,
102,150,1.75,1.0,True,True,10,current,,84185.00109679997,1.8325251823813546,-20969.99965146184,61.14206128133704,117.24930514874647,22.732958098811757,3198,392,718,,,,,,,
71,125,1.5,2.25,True,True,10,current,,82170.00185377896,1.828878064707433,-14659.99948039651,60.02785515320335,114.442899517798,26.4696734059098,3215,375,718,,,,,,,
143,200,2.0,2.25,True,True,10,current,,99085.00122383237,1.8285277576055379,-28114.9997600168,62.95264623955432,138.00139446216207,23.371947401377582,3194,396,718,,,,,,,
137,200,1.75,2.25,True,True,10,current,,93560.00200800598,1.8177255706544053,-20659.998922273517,62.116991643454035,130.30640948190248,24.140087554721703,3198,392,718,,,,,,,
32,100,1.25,1.5,True,True,10,current,,74194.99970555305,1.8162641839926141,-17830.000266581774,60.58495821727019,103.33565418600703,27.20565631724562,3253,337,718,,,,,,,
91,150,1.25,1.25,True,True,10,current,,78879.99980993569,1.8131619210275252,-20115.000437647104,62.95264623955432,109.86072396926976,24.654165385797725,3253,337,718,,,,,,,
60,125,1.25,1.0,True,True,10,current,,72565.00068068504,1.808712587428122,-14600.000022947788,61.6991643454039,101.06546055805717,24.269904703350754,3253,337,718,,,,,,,
90,150,1.25,1.0,True,True,10,current,,75220.00026203692,1.8072926175068549,-15230.000260472298,62.53481894150418,104.76323156272551,23.42453120196741,3253,337,718,,,,,,,
121,200,1.25,1.25,True,True,10,current,,83120.00006817281,1.8069846969463965,-20850.0000012666,64.9025069637883,115.76601680804013,23.316938210882263,3253,337,718,,,,,,,
34,100,1.25,2.0,True,True,10,current,,74510.0018838048,1.8057865812878164,-12489.99984100461,59.888579387186624,103.77437588273649,27.712880418075624,3253,337,718,,,,,,,
123,200,1.25,1.75,True,True,10,current,,82375.0005095452,1.7975328889978612,-14754.999982267618,63.370473537604454,114.7284129659404,24.823240086074392,3253,337,718,,,,,,,
132,200,1.75,1.0,True,True,10,current,,87980.0012806058,1.7932232281092642,-21149.999552816153,62.116991643454035,122.53482072507771,21.450906816760476,3198,392,718,,,,,,,
128,200,1.5,1.5,True,True,10,current,,88895.00001341105,1.7868787315474703,-21619.99968186021,61.97771587743732,123.80919221923544,23.576982892690513,3215,375,718,,,,,,,
126,200,1.5,1.0,True,True,10,current,,83380.00077091157,1.7795554187767748,-20384.99979093671,63.370473537604454,116.12813477842838,21.788491446345258,3215,375,718,,,,,,,
125,200,1.25,2.25,True,True,10,current,,81725.00053726137,1.7608250975875475,-13419.999762326479,63.370473537604454,113.82312052543365,25.00768521364894,3253,337,718,,,,,,,
120,200,1.25,1.0,True,True,10,current,,79020.00091016293,1.7605359420526923,-19905.000137910247,65.18105849582173,110.05571157404307,21.948970181371042,3253,337,718,,,,,,,
130,200,1.5,2.0,True,True,10,current,,87180.00194311142,1.730919373088398,-17624.999667555094,61.55988857938719,121.4206155196538,24.32348367029549,3215,375,718,,,,,,,
129,200,1.5,1.75,True,True,10,current,,85275.00053420663,1.6980775680829363,-18184.999684542418,61.42061281337048,118.76741021477247,24.183514774494558,3215,375,718,,,,,,,
4,75,1.25,2.0,True,True,10,current,,68140.00193603337,1.6948728860387339,-14644.999966397882,58.91364902506964,94.90250966021361,28.788810328927145,3253,337,718,,,,,,,
